backend,precond,dim,degree,refine,ranks,threads,dofs,iters,setup,rhs,solve,memory_mb,vmult_time,mdofs_per_s,l2,h1
matrix_free,multigrid,3,2,6,1,1,2146689,4,1.8183,0.292862,1.9755,210.08,0.0493041,43.5398,5.20642e-08,2.1595e-05
matrix_free,multigrid,3,2,6,2,1,2146689,4,1.3402,0.209636,1.5428,210.853,0.0359818,59.6603,5.20642e-08,2.1595e-05
matrix_free,multigrid,3,2,6,4,1,2146689,4,1.81224,0.2642,2.8073,211.962,0.0472177,45.4636,5.20642e-08,2.1595e-05
matrix_free,multigrid,3,2,6,8,1,2146689,4,13.6486,1.07897,23.0159,212.892,0.0898799,23.884,5.20642e-08,2.1595e-05
